,genome_id,Actual,Predicted,Category
228,3300017788_66,Uncultured,Uncultured,TN
229,3300014819_13,Uncultured,Uncultured,TN
230,3300017391_24,Uncultured,Uncultured,TN
231,3300000129_10,Uncultured,Uncultured,TN
232,3300029295_5,Uncultured,Uncultured,TN
233,3300021512_14,Uncultured,Uncultured,TN
234,3300006464_38,Cultured,Uncultured,FN
235,3300008541_21,Cultured,Uncultured,FN
236,3300020420_18,Uncultured,Uncultured,TN
237,3300029297_7,Cultured,Uncultured,FN
238,3300027963_56,Uncultured,Uncultured,TN
239,3300011527_2,Cultured,Uncultured,FN
240,3300014804_8,Cultured,Uncultured,FN
241,3300013133_75,Uncultured,Uncultured,TN
242,3300029769_9,Uncultured,Uncultured,TN
243,3300026627_7,Uncultured,Uncultured,TN
244,3300023201_6,Uncultured,Uncultured,TN
245,3300008275_15,Uncultured,Uncultured,TN
246,3300008486_8,Cultured,Uncultured,FN
247,3300011663_2,Cultured,Uncultured,FN
248,3300010368_36,Uncultured,Uncultured,TN
249,3300027355_2,Cultured,Uncultured,FN
250,3300024256_17,Uncultured,Uncultured,TN
251,3300027804_28,Uncultured,Uncultured,TN
252,3300027323_7,Cultured,Uncultured,FN
253,3300008537_19,Uncultured,Uncultured,TN
254,3300003073_1,Uncultured,Uncultured,TN
255,3300005977_20,Uncultured,Uncultured,TN
256,3300029361_24,Cultured,Uncultured,FN
257,3300029360_20,Uncultured,Uncultured,TN
258,3300013935_4,Uncultured,Uncultured,TN
259,3300007316_10,Uncultured,Uncultured,TN
260,3300000164_11,Uncultured,Uncultured,TN
261,3300025437_7,Uncultured,Uncultured,TN
262,3300027976_116,Uncultured,Uncultured,TN
263,3300029793_20,Uncultured,Uncultured,TN
264,3300027240_4,Uncultured,Uncultured,TN
265,3300008537_23,Uncultured,Uncultured,TN
266,3300024060_37,Uncultured,Uncultured,TN
267,3300006502_24,Uncultured,Uncultured,TN
268,3300008144_11,Uncultured,Uncultured,TN
269,3300000059_9,Uncultured,Uncultured,TN
270,3300027835_34,Uncultured,Uncultured,TN
271,3300008104_3,Uncultured,Uncultured,TN
272,3300007345_6,Uncultured,Uncultured,TN
273,3300027911_51,Cultured,Uncultured,FN
274,3300007109_5,Cultured,Uncultured,FN
