,genome_id,Actual,Predicted,Category
212,3300027779_23,Uncultured,Uncultured,TN
213,3300029234_20,Cultured,Cultured,TP
214,3300010998_41,Uncultured,Uncultured,TN
215,3300027834_43,Uncultured,Uncultured,TN
216,3300025393_25,Uncultured,Uncultured,TN
217,3300027152_5,Uncultured,Uncultured,TN
218,3300021843_64,Uncultured,Uncultured,TN
219,3300029581_14,Uncultured,Uncultured,TN
220,3300006464_12,Uncultured,Uncultured,TN
221,3300012267_2,Uncultured,Uncultured,TN
222,3300013129_15,Uncultured,Uncultured,TN
223,3300020262_18,Uncultured,Uncultured,TN
224,3300011768_1,Uncultured,Uncultured,TN
225,3300000154_21,Uncultured,Uncultured,TN
226,3300007798_32,Cultured,Cultured,TP
227,3300028162_6,Uncultured,Uncultured,TN
228,3300008731_1,Cultured,Cultured,TP
229,3300012878_5,Uncultured,Uncultured,TN
230,3300025639_17,Uncultured,Uncultured,TN
231,3300021467_13,Uncultured,Uncultured,TN
232,3300017518_26,Uncultured,Uncultured,TN
233,3300013129_26,Uncultured,Uncultured,TN
234,3300008096_7,Cultured,Cultured,TP
235,3300025686_10,Uncultured,Uncultured,TN
236,3300010265_30,Cultured,Uncultured,FN
237,3300014713_1,Uncultured,Uncultured,TN
238,3300029611_26,Uncultured,Uncultured,TN
239,3300029437_8,Cultured,Cultured,TP
240,3300027763_34,Uncultured,Uncultured,TN
241,3300027749_17,Uncultured,Uncultured,TN
242,3300018405_7,Uncultured,Uncultured,TN
243,3300027424_2,Uncultured,Uncultured,TN
244,3300000470_6,Uncultured,Uncultured,TN
245,3300000110_2,Uncultured,Uncultured,TN
246,3300010268_9,Uncultured,Uncultured,TN
247,3300027760_24,Uncultured,Uncultured,TN
248,3300027815_122,Uncultured,Uncultured,TN
249,3300018475_255,Uncultured,Uncultured,TN
250,3300025855_10,Uncultured,Uncultured,TN
251,3300020410_3,Uncultured,Cultured,FP
252,3300018022_9,Uncultured,Uncultured,TN
253,3300026522_31,Uncultured,Uncultured,TN
254,3300025248_7,Uncultured,Uncultured,TN
255,3300008599_9,Uncultured,Uncultured,TN
256,3300017480_51,Uncultured,Uncultured,TN
257,3300029201_25,Uncultured,Uncultured,TN
258,3300010280_45,Uncultured,Uncultured,TN
259,3300027975_12,Uncultured,Uncultured,TN
260,3300029391_27,Cultured,Cultured,TP
261,3300013004_39,Uncultured,Uncultured,TN
262,3300028591_48,Uncultured,Uncultured,TN
263,3300008089_5,Cultured,Uncultured,FN
264,3300023208_15,Uncultured,Uncultured,TN
265,3300022888_25,Uncultured,Uncultured,TN
266,3300022937_26,Uncultured,Uncultured,TN
267,3300026969_4,Uncultured,Uncultured,TN
268,3300025469_8,Uncultured,Uncultured,TN
269,3300013126_133,Uncultured,Uncultured,TN
270,3300000366_24,Uncultured,Uncultured,TN
271,3300009702_74,Uncultured,Uncultured,TN
272,3300029750_14,Uncultured,Uncultured,TN
273,3300006247_40,Uncultured,Uncultured,TN
274,3300008098_16,Uncultured,Cultured,FP
275,3300025029_4,Uncultured,Uncultured,TN
276,3300026488_17,Uncultured,Uncultured,TN
277,3300013481_1,Cultured,Uncultured,FN
278,3300025809_33,Uncultured,Uncultured,TN
279,3300017480_29,Uncultured,Uncultured,TN
280,3300008650_12,Cultured,Cultured,TP
281,3300013102_18,Uncultured,Uncultured,TN
282,3300024509_6,Cultured,Cultured,TP
283,3300007722_31,Uncultured,Uncultured,TN
284,3300009994_2,Cultured,Uncultured,FN
285,3300011917_2,Uncultured,Uncultured,TN
286,3300027864_28,Uncultured,Uncultured,TN
287,3300012004_1,Uncultured,Uncultured,TN
288,3300009084_126,Uncultured,Uncultured,TN
289,3300026534_19,Uncultured,Uncultured,TN
290,3300025238_25,Uncultured,Uncultured,TN
291,3300026381_3,Uncultured,Uncultured,TN
292,3300029887_20,Uncultured,Uncultured,TN
293,3300029215_17,Uncultured,Uncultured,TN
294,3300013958_15,Uncultured,Uncultured,TN
295,3300029608_26,Uncultured,Uncultured,TN
296,3300000205_18,Cultured,Uncultured,FN
297,3300009503_347,Uncultured,Uncultured,TN
298,3300022181_50,Uncultured,Uncultured,TN
299,3300014070_1,Uncultured,Uncultured,TN
300,3300002037_19,Uncultured,Uncultured,TN
301,3300029520_23,Uncultured,Uncultured,TN
302,3300008080_4,Cultured,Cultured,TP
303,3300010882_37,Uncultured,Uncultured,TN
304,3300025634_5,Uncultured,Uncultured,TN
305,3300029578_26,Uncultured,Uncultured,TN
306,3300008480_23,Uncultured,Uncultured,TN
307,3300008101_21,Uncultured,Uncultured,TN
308,3300005294_12,Uncultured,Uncultured,TN
309,3300027386_22,Uncultured,Uncultured,TN
310,3300012863_1,Uncultured,Uncultured,TN
311,3300014802_12,Uncultured,Uncultured,TN
312,3300009703_49,Uncultured,Uncultured,TN
313,3300020196_39,Uncultured,Uncultured,TN
314,3300026256_20,Uncultured,Uncultured,TN
315,3300026140_8,Uncultured,Uncultured,TN
316,3300007353_11,Uncultured,Uncultured,TN
317,3300026627_1,Uncultured,Uncultured,TN
318,3300026116_48,Uncultured,Uncultured,TN
319,3300011238_2,Uncultured,Uncultured,TN
320,3300017938_15,Uncultured,Uncultured,TN
321,3300013753_22,Cultured,Cultured,TP
322,3300014869_6,Uncultured,Uncultured,TN
323,3300000234_27,Uncultured,Uncultured,TN
324,3300025658_9,Uncultured,Uncultured,TN
325,3300025679_32,Uncultured,Uncultured,TN
326,3300029770_38,Uncultured,Uncultured,TN
327,3300014024_13,Cultured,Cultured,TP
328,3300027685_28,Uncultured,Uncultured,TN
329,3300027736_8,Uncultured,Uncultured,TN
330,3300025838_36,Uncultured,Uncultured,TN
331,3300011881_9,Cultured,Cultured,TP
332,3300029719_30,Uncultured,Uncultured,TN
333,3300027363_3,Uncultured,Uncultured,TN
334,3300025503_43,Uncultured,Uncultured,TN
335,3300020109_77,Uncultured,Uncultured,TN
336,3300014787_4,Uncultured,Uncultured,TN
337,3300010399_13,Uncultured,Uncultured,TN
338,3300009770_43,Uncultured,Uncultured,TN
339,3300025294_18,Uncultured,Uncultured,TN
340,3300005529_54,Uncultured,Uncultured,TN
341,3300026067_25,Uncultured,Uncultured,TN
342,3300027708_17,Uncultured,Uncultured,TN
343,3300008436_7,Cultured,Cultured,TP
344,3300021091_45,Uncultured,Uncultured,TN
345,3300026962_6,Uncultured,Uncultured,TN
346,3300027231_11,Uncultured,Uncultured,TN
347,3300020202_16,Uncultured,Uncultured,TN
348,3300009772_28,Uncultured,Uncultured,TN
349,3300020398_17,Uncultured,Uncultured,TN
350,3300014523_8,Uncultured,Uncultured,TN
351,3300025777_5,Uncultured,Uncultured,TN
352,3300010269_32,Uncultured,Uncultured,TN
353,3300007095_4,Uncultured,Uncultured,TN
354,3300000248_5,Uncultured,Uncultured,TN
355,3300011829_4,Cultured,Cultured,TP
356,3300011541_3,Cultured,Cultured,TP
357,3300027262_7,Uncultured,Uncultured,TN
358,3300013883_2,Uncultured,Uncultured,TN
359,3300029436_24,Uncultured,Uncultured,TN
360,3300014199_30,Uncultured,Uncultured,TN
361,3300011718_2,Uncultured,Uncultured,TN
362,3300008506_7,Uncultured,Uncultured,TN
363,3300011736_2,Cultured,Uncultured,FN
364,3300011246_1,Uncultured,Uncultured,TN
365,3300025709_9,Uncultured,Uncultured,TN
366,3300014561_9,Uncultured,Uncultured,TN
367,3300025648_39,Uncultured,Uncultured,TN
368,3300024892_2,Uncultured,Uncultured,TN
369,3300029664_19,Cultured,Cultured,TP
370,3300029095_10,Cultured,Cultured,TP
371,3300021301_4,Uncultured,Uncultured,TN
372,3300028299_39,Uncultured,Uncultured,TN
373,3300012994_5,Cultured,Cultured,TP
374,3300018933_10,Cultured,Cultured,TP
375,3300020603_76,Uncultured,Uncultured,TN
376,3300007531_37,Uncultured,Uncultured,TN
377,3300024433_56,Uncultured,Uncultured,TN
378,3300025961_19,Uncultured,Uncultured,TN
379,3300025649_14,Uncultured,Uncultured,TN
380,3300008756_13,Uncultured,Uncultured,TN
381,3300011244_3,Uncultured,Uncultured,TN
382,3300029839_22,Uncultured,Uncultured,TN
383,3300012271_16,Uncultured,Uncultured,TN
384,3300029846_16,Uncultured,Cultured,FP
385,3300027218_1,Uncultured,Uncultured,TN
386,3300002504_11,Uncultured,Uncultured,TN
387,3300027091_2,Uncultured,Uncultured,TN
388,3300027792_19,Uncultured,Uncultured,TN
389,3300006915_2,Uncultured,Uncultured,TN
390,3300006177_9,Uncultured,Uncultured,TN
391,3300009762_19,Uncultured,Uncultured,TN
392,3300005838_10,Uncultured,Uncultured,TN
393,3300014203_20,Uncultured,Uncultured,TN
394,3300029354_4,Cultured,Cultured,TP
395,3300012824_6,Uncultured,Uncultured,TN
396,3300029394_16,Uncultured,Uncultured,TN
397,3300019373_22,Uncultured,Uncultured,TN
398,3300020197_48,Uncultured,Uncultured,TN
399,3300011943_7,Uncultured,Uncultured,TN
400,3300009779_12,Uncultured,Uncultured,TN
401,3300029860_20,Uncultured,Uncultured,TN
402,3300029032_11,Uncultured,Uncultured,TN
403,3300018423_51,Uncultured,Uncultured,TN
404,3300026085_2,Uncultured,Uncultured,TN
405,3300012921_33,Uncultured,Uncultured,TN
406,2013843002_2,Uncultured,Uncultured,TN
407,3300013946_5,Cultured,Cultured,TP
