,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
203,Yes,Chloroflexota,0.54,0.918,0.077,0.125
204,Yes,Chloroflexota,0.569,0.918,0.077,0.125
205,Yes,Actinobacteriota,0.479,0.467,0.203,0.536
206,Yes,Actinobacteriota,0.479,0.636,0.168,0.19
207,Yes,Actinobacteriota,0.505,0.514,0.201,0.452
208,Yes,Actinobacteriota,0.473,0.547,0.198,0.387
209,Yes,Actinobacteriota,0.477,0.571,0.194,0.339
210,Yes,Proteobacteria,0.49,0.734,0.208,0.105
211,Yes,Proteobacteria,0.52,0.708,0.222,0.169
212,Yes,Proteobacteria,0.478,0.536,0.188,0.379
213,Yes,Proteobacteria,0.514,0.522,0.215,0.5
214,Yes,Proteobacteria,0.493,0.614,0.19,0.269
215,Yes,Campylobacterota,0.566,0.671,0.231,0.176
216,Yes,Campylobacterota,0.581,0.671,0.36,0.529
217,Yes,Campylobacterota,0.424,0.644,0.263,0.294
218,Yes,Campylobacterota,0.496,0.562,0.143,0.176
219,Yes,Campylobacterota,0.475,0.726,0.286,0.118
220,Yes,Bacteroidota,0.481,0.422,0.298,0.652
221,Yes,Bacteroidota,0.482,0.406,0.298,0.688
222,Yes,Bacteroidota,0.496,0.451,0.304,0.613
223,Yes,Bacteroidota,0.486,0.551,0.305,0.364
224,Yes,Bacteroidota,0.495,0.385,0.298,0.739
225,Yes,Firmicutes,0.45,0.52,0.294,0.303
226,Yes,Firmicutes,0.459,0.531,0.309,0.318
227,Yes,Firmicutes,0.459,0.528,0.312,0.333
228,Yes,Firmicutes,0.516,0.556,0.356,0.394
229,Yes,Firmicutes,0.507,0.536,0.351,0.447
230,Yes,Deinococcota,0.484,0.5,0.68,0.586
231,Yes,Deinococcota,0.55,0.425,0.75,0.31
232,Yes,Deinococcota,0.469,0.625,0.733,0.759
233,Yes,Deinococcota,0.538,0.475,0.833,0.345
234,Yes,Deinococcota,0.495,0.375,0.667,0.276
235,Yes,Thermotogota,0.667,0.878,0.5,0.2
236,Yes,Thermotogota,0.614,0.78,0.0,0.0
237,Yes,Thermotogota,0.669,0.707,0.182,0.4
238,Yes,Thermotogota,0.619,0.463,0.16,0.8
239,Yes,Thermotogota,0.797,0.829,0.0,0.0
240,Yes,Coprothermobacterota,1.0,1.0,1.0,1.0
241,Yes,Coprothermobacterota,1.0,1.0,1.0,1.0
242,Yes,Coprothermobacterota,1.0,0.75,0.75,1.0
243,Yes,Coprothermobacterota,1.0,1.0,1.0,1.0
244,Yes,Coprothermobacterota,1.0,1.0,1.0,1.0
245,Yes,Aquificota,0.472,0.727,0.333,0.5
246,Yes,Aquificota,0.528,0.818,0.5,0.5
247,Yes,Aquificota,0.556,0.636,0.25,0.5
248,Yes,Aquificota,0.139,0.455,0.0,0.0
249,Yes,Aquificota,0.417,0.545,0.0,0.0
